assessment_name,url
executive-scenarios-profile-report,https://www.shl.com/products/product-catalog/view/executive-scenarios-profile-report/
expressjs-new,https://www.shl.com/products/product-catalog/view/expressjs-new/
filing-names-r1,https://www.shl.com/products/product-catalog/view/filing-names-r1/
filing-numbers,https://www.shl.com/products/product-catalog/view/filing-numbers/
financial-accounting-new,https://www.shl.com/products/product-catalog/view/financial-accounting-new/
financial-and-banking-services-new,https://www.shl.com/products/product-catalog/view/financial-and-banking-services-new/
fire-engineering-new,https://www.shl.com/products/product-catalog/view/fire-engineering-new/
following-instructions-v1-uk-r1,https://www.shl.com/products/product-catalog/view/following-instructions-v1-uk-r1/
following-instructions-v1-us-r2,https://www.shl.com/products/product-catalog/view/following-instructions-v1-us-r2/
food-and-beverage-services-new,https://www.shl.com/products/product-catalog/view/food-and-beverage-services-new/
food-science-new,https://www.shl.com/products/product-catalog/view/food-science-new/
front-office-management-new,https://www.shl.com/products/product-catalog/view/front-office-management-new/
fundamentals-of-chemistry-new,https://www.shl.com/products/product-catalog/view/fundamentals-of-chemistry-new/
fundamentals-of-physics-new,https://www.shl.com/products/product-catalog/view/fundamentals-of-physics-new/
general-diseases-new,https://www.shl.com/products/product-catalog/view/general-diseases-new/
geoinformatics-engineering-new,https://www.shl.com/products/product-catalog/view/geoinformatics-engineering-new/
geoscience-engineering-new,https://www.shl.com/products/product-catalog/view/geoscience-engineering-new/
git-new,https://www.shl.com/products/product-catalog/view/git-new/
global-skills-assessment,https://www.shl.com/products/product-catalog/view/global-skills-assessment/
graduate-scenarios,https://www.shl.com/products/product-catalog/view/graduate-scenarios/
graduate-scenarios-narrative-report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-narrative-report/
graduate-scenarios-profile-report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-profile-report/
hibernate-new,https://www.shl.com/products/product-catalog/view/hibernate-new/
hipaa-security,https://www.shl.com/products/product-catalog/view/hipaa-security/
hipo-assessment-report-1-0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-1-0/
hipo-assessment-report-2-0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-2-0/
